artist,uri
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT
Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg
Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx
The All-American Rejects,spotify:artist:3vAaWhdBR38Q02ohXqaNHT
Keri Hilson,spotify:artist:63wjoROpeh5f11Qm93UiJ1
Soulja Boy,spotify:artist:6GMYJwaziB4ekv1Y6wCDWS
Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
Shinedown,spotify:artist:70BYFdaZbEKbeauJ670ysI
Nickelback,spotify:artist:6deZN1bslXzeGvOLaLMOIF
Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo
Jamie Foxx,spotify:artist:7LnaAXbDVIL75IVPnndf7w
3OH!3,spotify:artist:0FWzNDaEu9jdgcYTbcOa4F
Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg
Sean Kingston,spotify:artist:6S0dmVVn4udvppDhZIWxCr
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
Jay Sean,spotify:artist:4pADjHPWyrlAF0FA7joK2H
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
Lady A,spotify:artist:32WkQRZEVKSzVAAYqukAEA
Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
Rascal Flatts,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn
Kevin Rudolf,spotify:artist:0Chxmm4XMM87mJOHvyiUzL
Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY
Brad Paisley,spotify:artist:13YmWQJFwgZrd4bf5IjMY4
Darius Rucker,spotify:artist:7FY5V3XMwlNBPitEjXowHQ
Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8
Colby O'Donis,spotify:artist:7fObcBw9VM3x7ntWKCYl0z
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
The-Dream,spotify:artist:1W3FSF1BLpY3hlVIgvenLz
Dierks Bentley,spotify:artist:7x8nK0m0cP2ksQf0mjWdPS
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Colbie Caillat,spotify:artist:6aZyMrc4doVtZyKNilOmwu
Daughtry,spotify:artist:5P5FTygHyx2G57oszR3Wot
Jordin Sparks,spotify:artist:2AQjGvtT0pFYfxR3neFcvz
Billy Currington,spotify:artist:1By9QBFnjZAoI83BZppHlt
Owl City,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
Cobra Starship,spotify:artist:2aYJ5LAta2ScCdfLhKgZOY
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7
Young Money,spotify:artist:5OrB6Jhhrl9y2PK0pSV4VP
David Cook,spotify:artist:4SQxI8xg6LcSWL3KuGVHLa
The Veronicas,spotify:artist:1dIdBZaaHRW2bDTkHNfWln
Boys Like Girls,spotify:artist:0vWCyXMrrvMlCcepuOJaGI
Sugarland,spotify:artist:0hYxQe3AK5jBPCr5MumLHD
Asher Roth,spotify:artist:1wgY8huggK60P5nvYrwcYT
Maxwell,spotify:artist:2AOt5htsbtyaHd5Eq3kl3j
Leona Lewis,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
George Strait,spotify:artist:5vngPClqofybhPERIqQMYd
Rob Thomas,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC
Ludacris,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
Iyaz,spotify:artist:5tKXB9uuebKE34yowVaU3C
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
New Boyz,spotify:artist:1ZKqrja0WvbSssYNFO3lzs
Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
Kristinia DeBarge,spotify:artist:5Z22vlK4DCgDrQgBEqfc8w
Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw
Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w
Sammie,spotify:artist:4p07QU02SrLsaORo25h2Lg
Montgomery Gentry,spotify:artist:3bGXaFVQLASmDMdjjeJr8a
The Ting Tings,spotify:artist:2wvUfjKGoXvcnDHq7GgMOa
Pleasure P,spotify:artist:6dROiL44pIQZVNZ6Bc0OJO
Plain White T's,spotify:artist:1g1yxsNVPhMUl9GrMjEb2o
Fabolous,spotify:artist:0YWxKQj2Go9CGHCp77UOyy
Jesse McCartney,spotify:artist:2Hjj68yyUPiC0HKEOigcEp
Trey Songz,spotify:artist:2iojnBLj0qIMiKPvVhLnsH
Theory of a Deadman,spotify:artist:74eX4C98E4FCrAMl39qRsJ
Alan Jackson,spotify:artist:4mxWe1mtYIYfP040G38yvS
LMFAO,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl
50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
Dorrough Music,spotify:artist:5MAp6rMiUJjRLXMWtArXRS
Kellie Pickler,spotify:artist:021hNAnkFIbyFyL97br6NB
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Tim McGraw,spotify:artist:6roFdX1y5BYSbp60OTJWMd
Ciara,spotify:artist:2NdeV5rLm47xAvogXrYhJX
Saving Abel,spotify:artist:2AVVj8ezW2mJ0v8u7XydiF
