artist,uri
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
fun.,spotify:artist:5nCi3BB41mBaMH9gfr6Su0
Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
LMFAO,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
The Wanted,spotify:artist:2NhdGz9EDv2FeUw6udu2g1
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A
Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg
Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Neon Trees,spotify:artist:0RpddSzUHfncUWNJXKOsjy
Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl
Gym Class Heroes,spotify:artist:4IJczjB0fJ04gs4uvP0Fli
Alex Clare,spotify:artist:5Tf4EH8tDvznnjULcFxkIl
2 Chainz,spotify:artist:17lzZA2AlOHwCwFALHttmp
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR
Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
Trey Songz,spotify:artist:2iojnBLj0qIMiKPvVhLnsH
Eric Church,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV
Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Kimbra,spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
Hunter Hayes,spotify:artist:7H6dkUChT5EoOQtUVMg4cN
Janelle Monáe,spotify:artist:6ueGR6SWhUJfvEhqkvMsVs
Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
